<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MAIL,60,20200713,130000,1826.6000000,1835.0000000,1825.4000000,1834.6000000,11962
MAIL,60,20200713,140000,1834.0000000,1835.0000000,1832.4000000,1832.4000000,8307
MAIL,60,20200713,150000,1832.4000000,1834.4000000,1829.0000000,1832.0000000,5246
MAIL,60,20200713,160000,1832.0000000,1834.4000000,1825.6000000,1834.4000000,5040
MAIL,60,20200713,170000,1834.2000000,1834.6000000,1826.4000000,1828.6000000,3142
MAIL,60,20200713,180000,1829.0000000,1830.0000000,1818.0000000,1819.8000000,15124
MAIL,60,20200713,190000,1819.8000000,1828.0000000,1818.4000000,1822.0000000,15177
MAIL,60,20200714,110000,1823.0000000,1824.8000000,1794.0000000,1798.4000000,28050
MAIL,60,20200714,120000,1798.6000000,1805.8000000,1781.4000000,1786.0000000,22443
MAIL,60,20200714,130000,1786.0000000,1795.2000000,1785.2000000,1792.8000000,7838
MAIL,60,20200714,140000,1792.8000000,1794.0000000,1785.2000000,1788.0000000,3865
MAIL,60,20200714,150000,1788.0000000,1790.0000000,1785.6000000,1786.6000000,5923
MAIL,60,20200714,160000,1786.6000000,1791.6000000,1783.8000000,1787.2000000,5743
MAIL,60,20200714,170000,1785.6000000,1794.0000000,1785.4000000,1790.0000000,4416
MAIL,60,20200714,180000,1788.4000000,1791.4000000,1781.8000000,1788.0000000,9969
MAIL,60,20200714,190000,1787.6000000,1790.6000000,1784.2000000,1786.6000000,6766
MAIL,60,20200715,110000,1790.0000000,1813.0000000,1790.0000000,1813.0000000,22395
MAIL,60,20200715,120000,1813.0000000,1815.0000000,1807.6000000,1812.6000000,6824
MAIL,60,20200715,130000,1812.6000000,1834.2000000,1812.4000000,1834.2000000,13356
MAIL,60,20200715,140000,1834.2000000,1845.0000000,1831.0000000,1838.0000000,12029
MAIL,60,20200715,150000,1838.0000000,1842.0000000,1822.2000000,1828.8000000,14912
MAIL,60,20200715,160000,1828.8000000,1830.8000000,1817.0000000,1817.8000000,9044
MAIL,60,20200715,170000,1817.4000000,1822.4000000,1803.6000000,1806.4000000,16158
MAIL,60,20200715,180000,1805.0000000,1806.6000000,1800.0000000,1800.6000000,11792
MAIL,60,20200715,190000,1800.6000000,1811.8000000,1800.0000000,1811.8000000,11168
MAIL,60,20200716,110000,1801.4000000,1818.0000000,1801.4000000,1809.8000000,6021
MAIL,60,20200716,120000,1809.8000000,1809.8000000,1801.8000000,1807.8000000,7247
MAIL,60,20200716,130000,1807.0000000,1808.0000000,1804.0000000,1805.0000000,2583
MAIL,60,20200716,140000,1805.0000000,1810.0000000,1802.2000000,1809.8000000,4410
MAIL,60,20200716,150000,1810.0000000,1810.8000000,1806.2000000,1810.0000000,2170
MAIL,60,20200716,160000,1810.4000000,1811.2000000,1808.4000000,1811.2000000,1403
MAIL,60,20200716,170000,1811.2000000,1814.0000000,1806.0000000,1813.0000000,2546
MAIL,60,20200716,180000,1812.0000000,1817.2000000,1805.4000000,1809.0000000,8973
