ATVI-RM,1,20200826,144200,6385.0000000,6385.0000000,6385.0000000,6385.0000000,1
ATVI-RM,1,20200826,144300,6389.0000000,6389.0000000,6389.0000000,6389.0000000,1
ATVI-RM,1,20200826,144500,6388.0000000,6388.0000000,6388.0000000,6388.0000000,1
ATVI-RM,1,20200826,144700,6375.0000000,6385.0000000,6375.0000000,6385.0000000,8
ATVI-RM,1,20200826,145200,6380.0000000,6380.0000000,6380.0000000,6380.0000000,3
ATVI-RM,1,20200826,145400,6378.0000000,6378.0000000,6378.0000000,6378.0000000,14
ATVI-RM,1,20200826,150500,6373.0000000,6373.0000000,6373.0000000,6373.0000000,4
ATVI-RM,1,20200826,151200,6379.0000000,6379.0000000,6379.0000000,6379.0000000,5
ATVI-RM,1,20200826,151700,6373.0000000,6384.0000000,6373.0000000,6384.0000000,7
ATVI-RM,1,20200826,152000,6380.0000000,6380.0000000,6380.0000000,6380.0000000,1
ATVI-RM,1,20200826,152300,6380.0000000,6380.0000000,6380.0000000,6380.0000000,1
ATVI-RM,1,20200826,152400,6380.0000000,6380.0000000,6380.0000000,6380.0000000,10
ATVI-RM,1,20200826,153600,6380.0000000,6386.0000000,6380.0000000,6386.0000000,5
ATVI-RM,1,20200826,153700,6386.0000000,6386.0000000,6386.0000000,6386.0000000,4
ATVI-RM,1,20200826,153900,6375.0000000,6379.0000000,6375.0000000,6379.0000000,2
ATVI-RM,1,20200826,154300,6385.0000000,6385.0000000,6385.0000000,6385.0000000,4
ATVI-RM,1,20200826,154500,6385.0000000,6385.0000000,6385.0000000,6385.0000000,4
ATVI-RM,1,20200826,154700,6381.0000000,6381.0000000,6381.0000000,6381.0000000,8
ATVI-RM,1,20200826,155500,6373.0000000,6373.0000000,6373.0000000,6373.0000000,1
ATVI-RM,1,20200826,160200,6373.0000000,6373.0000000,6373.0000000,6373.0000000,4
ATVI-RM,1,20200826,161200,6373.0000000,6373.0000000,6370.0000000,6370.0000000,25
ATVI-RM,1,20200826,161400,6383.0000000,6383.0000000,6383.0000000,6383.0000000,1
ATVI-RM,1,20200826,162300,6392.0000000,6392.0000000,6392.0000000,6392.0000000,5
ATVI-RM,1,20200826,162600,6390.0000000,6390.0000000,6390.0000000,6390.0000000,3
ATVI-RM,1,20200826,163000,6388.0000000,6388.0000000,6388.0000000,6388.0000000,10
ATVI-RM,1,20200826,163400,6380.0000000,6380.0000000,6380.0000000,6380.0000000,1
